agencyCode(Investment),agencyName(Investment),bureauCode(Investment),parentUII,parentInvestmentTitle,budgetAccountCode,budgetAccountName,agencyCode(fromBudgetAccount),bureauCode(fromBudgetAccount),DODalternateBureauCode,fiscalYear,fundingType,fundingAmount,sourceType,updatedTime_x,agencyCode,agencyName,currentUII,investmentName,investmentType,uniqueProjectId,projectId,agencyProjectId,projectName,projectGoal,infrastructureManagementCategory,projectStatus,tmfInitiative,softwareProject,incrementalDevelopment,iterationFrequencyAmount,iterationFrequencyUnits,iterativeDescription,plannedStartDate,projectedStartDate,actualStartDate,plannedEndDate,projectedEndDate,actualEndDate,plannedCost,projectedCost,actualCost,scheduleVariance(days),scheduleVariance(%),scheduleVarianceColor,costVariance($M),costVariance(%),costVarianceColor,updatedTime_y,has_future
24,Department of Homeland Security,10,024-000005253,DHS - Homeland Advanced Recognition Technology (HART),024-10-0100,Operations and Support,24,10,,2024,O&M,70.664,Internal Funding,2023-03-02 04:03:52,24,Department of Homeland Security,024-000005253,DHS - Homeland Advanced Recognition Technology (HART),Major IT Investments,,2,126432,Post Deployment Support,Post Deployment Services post IOC.,1,Future,,False,False,,,project is for support and maintenance.,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-29 18:35:18,True
15,Department of the Treasury,12,015-000200137,Revenue Collections Support Services (RCSS),015-12-1884,Federal Reserve Bank Reimbursement Fund,15,12,,2024,O&M,63.443339,Internal Funding,2023-09-18 12:35:57,15,Department of the Treasury,015-000200137,Revenue Collections Support Services (RCSS),Major IT Investments,,202539,015000200137x202539,"TCMM - Additional Security Upgrades, Software Maintenance and Other Prioritized Defect Remediation","Continued maintenance, security upgrades, enhancements and defect remediation.",1,Future,,True,False,,Days,,,,,,,,,,,0,0.0,green,-0.204,6.4353,green,2022-04-11 13:39:46,True
11,Department of Justice,10,011-000003503,FBI Shared Land Mobile Radio (SLMR),011-10-0200-0,,11,10,,2024,O&M,32.0,Internal Funding,2023-09-20 12:54:50,11,Department of Justice,011-000003503,FBI Shared Land Mobile Radio (SLMR),Standard IT Investments,,002,5fd24412a821f2428617fc9c,NY/Newark Infrastructure Project,Modernization of SLMR system that covers the New York and Newark Field Office Metropolitan Regions. Equipment ordered and scheduled to be delivered October 2022 and installed and tested October -December 2022.,4,Future,,False,,,,,,,,,,,,,,0,0.0,green,-74.925,-99.9,green,2022-08-17 14:22:20,True
11,Department of Justice,10,011-000003503,FBI Shared Land Mobile Radio (SLMR),011-10-0200-0,,11,10,,2024,O&M,32.0,Internal Funding,2023-09-20 12:54:50,11,Department of Justice,011-000003503,FBI Shared Land Mobile Radio (SLMR),Standard IT Investments,,001,5fff4c1786dc51426897c467,Infrastructure Refresh for 23 Field Offices including Redstone Arsenal ,Modernization of SLMR System that covers the Atlanta and Phoenix Field Office Metropolitan Regions.  Equipment not ordered in FY 21.  Project delayed. Equipment req in in March 2022 - not ordered yet.,4,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2022-04-18 12:52:04,True
18,Department of Education,45,018-000000199,FSA Cybersecurity Program,018-45-0202-0,,18,45,,2024,O&M,31.185606,Internal Funding,2023-09-25 12:07:03,18,Department of Education,018-000000199,FSA Cybersecurity Program,Standard IT Investments,,2203,5f4913770b65bc452b23e2eb,Risk-Based Authentication Services FY22,Perform high assurance identity verification using an automated service and enhance identity security using Risk-Based Authentication (RBA) techniques.,2,Future,,False,False,Array,Months,,,,,,,,,,,0,0.0,green,-1.6,-80.0,green,2021-09-21 18:22:14,True
18,Department of Education,45,018-000000199,FSA Cybersecurity Program,018-45-0202-0,,18,45,,2024,O&M,31.185606,Internal Funding,2023-09-25 12:07:03,18,Department of Education,018-000000199,FSA Cybersecurity Program,Standard IT Investments,,FY22 Cyber,5f500419dbd03845429d4c63,FY22 Cyber Enhancements,Annual cyber enhancements ,2,Future,,False,False,Array,Months,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-09-21 18:22:14,True
20,Environmental Protection Agency,0,020-000000065,EPA Network Standard Investment,020-00-0108-0,,20,0,,2024,O&M,27.3368,Internal Funding,2023-09-26 13:52:46,20,Environmental Protection Agency,020-000000065,EPA Network Standard Investment,Standard IT Investments,,P1,6119b1eaf5a6964226ae0d5b,ITS-EPA IV TO2,Contract supporting end User activities,4,Future,,False,,,,,,,,,,,,,,0,0.0,green,-1.0,-5.8824,green,2021-10-28 15:00:01,True
20,Environmental Protection Agency,0,020-000000065,EPA Network Standard Investment,020-00-0108-0,,20,0,,2024,O&M,27.3368,Internal Funding,2023-09-26 13:52:46,20,Environmental Protection Agency,020-000000065,EPA Network Standard Investment,Standard IT Investments,,E2,5ecea8a55ef67a7570a29ffa,EIS: Transition Phase,Move EPA data network services from GSA Networx to GSA EIS,4,Future,,False,,,,,,,,,,,,,,273,98.2014,red,0.0,0.0,green,2021-10-28 15:00:01,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,21.1495,Internal Funding,2023-09-26 13:52:37,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,MD3,5ecea8d15ef67a7570a2a002,Mobile Device Refresh FY22,Maintain mobile device at current support levels,6,Future,,False,,,,,,,,,,,,,,183,50.4132,red,-0.125,-33.3333,green,2021-10-28 15:00:01,True
20,Environmental Protection Agency,0,020-000000066,EPA End User Standard Investment,020-00-0108-0,,20,0,,2024,O&M,21.1495,Internal Funding,2023-09-26 13:52:37,20,Environmental Protection Agency,020-000000066,EPA End User Standard Investment,Standard IT Investments,,E2D,6115e718f5a6964226ae0bbc,Printer Refresh FY22,Refresh Printers at end of life,6,Future,,False,,,,,,,,,,,,,,0,0.0,green,0.0,0.0,green,2021-10-28 15:00:01,True
