agencyCode,agencyName,currentUII,investmentName,investmentType,uniqueProjectId,projectId,agencyProjectId,projectName,projectGoal,infrastructureManagementCategory,projectStatus,tmfInitiative,softwareProject,incrementalDevelopment,iterationFrequencyAmount,iterationFrequencyUnits,iterativeDescription,plannedStartDate,projectedStartDate,actualStartDate,plannedEndDate,projectedEndDate,actualEndDate,plannedCost,projectedCost,actualCost,scheduleVariance(days),scheduleVariance(%),scheduleVarianceColor,costVariance($M),costVariance(%),costVarianceColor,updatedTime
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Major IT Investments",5f580ccddf800345552dd08e,210222,5f580ccddf800345552dd08e,"FY22 Patent Administrative Center Maintenance and Enhancements","Patent Administrative Center allows reviewers conduct formalities, document & fee review, manage bibliographic data, applicant representatives and correspondence information for numerous application types; and validate fees and export documents.",01,Completed,N/A,true,true,2,Weeks,"Agile methodology/DevSecOps",2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,28.55442,28.55442,25.877739,0,0,green,2.676681,9.373964,green,"2023-01-30 14:57:10"
006,"Department of Commerce",006-000000118,"OS OCIO IT Infrastructure (OITS) Application","Standard IT Investments",60942fc72daa134293587970,51-0002,60942fc72daa134293587970,"Web Solutions to PaaS","Web Solutions hosts production websites in Azure cloud as Infrastructure as a Service. This project will move production websites, as well as on-prem containers and databases hosting dev, test and staging environments, into Azure PaaS component.",08,"In Progress",,false,,,,,,,,,,,,,,0,0,green,-0.001188,0.8723,green,"2021-09-30 08:19:53"
006,"Department of Commerce",006-000805500,"USPTO Patents Product Line","Major IT Investments",5f59687fdf800345552dd5ad,210122,5f59687fdf800345552dd5ad,"FY22 Patent Center Maintenance and Enhancements","Patent Portal is a unified interface that allows applicants to file, review, and manage patent applications, including searching published prior art.",01,Completed,N/A,true,true,3,Weeks,"Agile Methodology/DevSecOps",2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,14.56728,14.56728,13.147225,0,0,green,1.420055,9.748251,green,"2023-01-30 14:57:09"
006,"Department of Commerce",006-000313000,"NOAA/NWS/ NWS Central Processing ","Major IT Investments",617c0ecf0ab54842acf9f712,3083130002,617c0ecf0ab54842acf9f712,"FY23 - N-AWIPS Migration","Migrate National Centers AWIPS (NAWPS) functions to AWIPS II SOA.",01,"In Progress",N/A,true,true,6,Months,Mixed,2022-10-01,2022-10-01,2022-10-01,2023-09-30,2023-09-30,,1.74,1.74,0,0,0,green,0,0,green,"2022-11-23 08:02:51"
006,"Department of Commerce",006-000313000,"NOAA/NWS/ NWS Central Processing ","Major IT Investments",6127c8d7c8d74c429dcb3bdc,313005,6127c8d7c8d74c429dcb3bdc,"FY22-WCCIS Operations and Maintenance","Ongoing operations and maintenance activities that support NCEP's Central Operations mission.",01,Completed,N/A,false,true,6,Months,Mixed,2021-10-01,2021-10-01,2021-10-01,2022-09-30,2022-09-30,2022-09-30,16.405,16.40496,16.40496,0,0,green,4.0000000002038E-5,0.000244,green,"2022-12-27 09:40:35"
006,"Department of Commerce",006-000000104,"NTIA - FirstNet End User (EU)","Standard IT Investments",5ed04a8a9c62241320d1e148,6,5ed04a8a9c62241320d1e148,"FY2020 Q2 End User","End User Equipment; Conference Room and Polycom Renewals.",06,Complete,,false,,,,,,,2020-01-01,,,2020-03-31,,,0.226,0,0,green,-0.055925,24.7456,yellow,"2022-03-03 14:54:32"
006,"Department of Commerce",006-000401500,"Census - Other Financial Management","Non-major IT Investments",5ed0511c9c62241320d1e2f2,4015D20001,5ed0511c9c62241320d1e2f2,"Consolidated Budget and Reporting Application (COBRA): Payroll Forcasting (PAYCAST) Capability","Deliver first release of functionality to enhance the COBRA system with the ability to forecast execution year payroll-related costs",01,,,false,,,,,,,,,,,,,,0,0,green,0,0,green,"2022-03-01 15:51:53"
006,"Department of Commerce",006-000000104,"NTIA - FirstNet End User (EU)","Standard IT Investments",5ed04a9f9c62241320d1e149,7,5ed04a9f9c62241320d1e149,"FY2020 Q3 End User","Team Viewer; Mobile Device & Services.",06,Complete,,false,,,,,,,2020-04-01,,,2020-06-30,,,0.051,0,0,green,0,0,green,"2022-03-03 14:57:06"
006,"Department of Commerce",006-000000116,"NIST End User (EU)","Standard IT Investments",614b6e4cf0fda142a2f0c994,NISTHDM,614b6e4cf0fda142a2f0c994,"Home Drive Migration","Migrate user home drives to Microsoft OneDrive from NIST managed storage.",06,,,false,,,,,,,,,,,,,,0,0,green,0,0,green,"2021-09-29 09:22:19"
006,"Department of Commerce",006-000370500,"NOAA/NOAA/ Enterprise Infrastructure Solution (EIS) (Network Report)","Standard IT Investments",605cc8fb69ad724281a7304e,00001-0001,605cc8fb69ad724281a7304e,"Phase 1 - EIS TRANSITION  ","March 31 2021 50 percent of NOAA telecom inventory transitioned off the legacy Networx contract ",04,,,false,,,,,,,,,,,,,,0,0,green,0,0,green,"2021-09-29 09:33:27"
